Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://512pixels.net/downloads/macos-wallpapers-6k/10-0_10-1-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://512pixels.net/downloads/macos-wallpapers-6k/10-2-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://512pixels.net/downloads/macos-wallpapers-6k/10-3-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://512pixels.net/downloads/macos-wallpapers-6k/10-4-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,https://512pixels.net/downloads/macos-wallpapers-6k/10-5-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit06,https://512pixels.net/downloads/macos-wallpapers-6k/10-6-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit07,https://512pixels.net/downloads/macos-wallpapers-6k/10-6-Server-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit08,https://512pixels.net/downloads/macos-wallpapers-6k/10-7-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit09,https://512pixels.net/downloads/macos-wallpapers-6k/10-8-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit10,https://512pixels.net/downloads/macos-wallpapers-6k/10-9-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit11,https://512pixels.net/downloads/macos-wallpapers-6k/10-10-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit12,https://512pixels.net/downloads/macos-wallpapers-6k/10-11-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit13,https://512pixels.net/downloads/macos-wallpapers-6k/10-12-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit14,https://512pixels.net/downloads/macos-wallpapers-6k/10-13-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit15,https://512pixels.net/downloads/macos-wallpapers-6k/10-14-Day-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit16,https://512pixels.net/downloads/macos-wallpapers-6k/10-14-Night-6k.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit17,https://512pixels.net/downloads/macos-wallpapers/10-15-Day.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit18,https://512pixels.net/downloads/macos-wallpapers/10-15-Night.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit19,https://512pixels.net/downloads/macos-wallpapers/11-0-Day.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit20,https://512pixels.net/downloads/macos-wallpapers/11-0-Night.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit21,https://9to5mac.com/wp-content/uploads/sites/6/2020/10/The-Beach-5-dragged.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit22,https://9to5mac.com/wp-content/uploads/sites/6/2020/10/The-Cliffs-5-dragged.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit23,https://9to5mac.com/wp-content/uploads/sites/6/2020/10/The-Desert-5-dragged.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit24,https://9to5mac.com/wp-content/uploads/sites/6/2020/10/The-Lake-5-dragged.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit25,https://9to5mac.com/wp-content/uploads/sites/6/2020/10/Big-Sur-Shore-Rocks.png,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit26,https://9to5mac.com/wp-content/uploads/sites/6/2020/10/Big-Sur-Road.png,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit27,https://9to5mac.com/wp-content/uploads/sites/6/2020/10/Big-Sur-Mountains.png,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit28,https://9to5mac.com/wp-content/uploads/sites/6/2020/10/Big-Sur-Horizon.png,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit29,https://9to5mac.com/wp-content/uploads/sites/6/2020/10/Big-Sur-Aerial.png,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit30,https://aotawhiti.school.nz/wp-content/uploads/2019/05/building.jpg,0:01:00,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
